ciudad;depto;tamano;sector;seccion_sector;pa;numero_empleados;pb1;pb2;pb3;pb4;pb5;pb6;pb7;seleccion_por___contratados;pd1;pd2;p1;p1a;p2;p2a;p3;p3a;p4;p4a;p5;p5a;p6;p6a;p7;p7a;p8;p8a;p9;p9a;p10;p10a;p11;p11a;p12;p12a;p13;p13a;p14;p14a;p15;p15a;p16;p16a;p17;p17a;p18;p18a;p19;p19a;p20;p20a;p21a;p21b;p21c;p21d;p21e;factor
bOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;FABRICACION DE PRODUCTOS PUBL.;Menos de 11 Empleados;7;;;;;;;Universitarios;22;10;4;3;4;2;4;3;4;3;4;3;4;2;4;3;3;4;3;4;4;4;3;3;3;4;4;4;3;4;4;3;4;3;4;3;4;4;3;4;4;4;3;1;2;5;4;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;IMPRESION;Mas de 200 Empleados;1;2;4;5;6;;;Universitarios;15;15;3;4;3;3;3;3;2;2;4;4;3;3;3;3;4;4;3;3;4;4;3;3;4;4;3;3;3;3;3;3;4;4;3;3;2;2;3;3;3;3;2;1;4;5;3;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;FABRICANTES DE EMPAQUE PARA VALVULA;Mas de 200 Empleados;1;2;4;6;;;;Tecnicos o Tecnologos;5;15;4;2;4;2;4;3;3;1;4;3;4;4;4;3;4;2;4;3;4;4;4;3;4;2;3;2;4;3;4;3;4;3;4;2;3;2;4;3;4;3;5;1;3;2;4;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;FABRICACION DE ESTRUCTURAS MET;Entre 11 y 50 Empleados;1;;;;;;;Universitarios;1;0;4;4;3;3;3;3;2;2;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;5;1;2;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;ELABORACION DE CIRCU ELECTRONI;Entre 51 y 200 Empleados;2;5;6;;;;;Tecnicos o Tecnologos;30;40;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;1;2;5;3;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;ALIMENTOS CONCENTRADOS;Entre 51 y 200 Empleados;2;;;;;;;Universitarios;2;0;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;3;4;4;4;3;4;4;4;3;4;3;4;4;4;3;4;3;4;3;4;4;4;3;1;2;3;4;5;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;COMERCIALIZACION DE LUBRICANTE;Entre 11 y 50 Empleados;2;5;6;;;;;Universitarios;2;0;4;4;4;4;4;4;4;2;4;3;4;3;4;2;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;3;4;3;4;3;4;3;4;4;4;3;4;5;2;1;3;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;COMERCIALICACION ACEROS;Entre 51 y 200 Empleados;6;4;;;;;;Tecnicos o Tecnologos;10;35;4;3;4;2;4;3;3;2;4;3;3;1;4;3;4;3;4;2;4;4;4;3;3;2;3;2;3;1;3;1;4;3;4;3;4;2;4;2;3;2;2;1;3;5;4;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;METALMECANICA Y PLASTICA;Entre 51 y 200 Empleados;2;;;;;;;Universitarios;2;0;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;5;2;1;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;ARTES GRAFICAS;Entre 51 y 200 Empleados;2;1;6;;;;;Tecnicos o Tecnologos;5;8;4;3;4;3;4;3;3;2;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;4;4;3;2;4;5;1;7,61
